model,layer,domain,condition,participation_ratio,num_concepts,feature_dim,concept_subset
Qwen/Qwen3-VL-8B-Instruct,29,sensory,M_text_only,189.99621693203352,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,30,sensory,M_text_only,209.25411663328276,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,31,sensory,M_text_only,223.3449280284286,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,32,sensory,M_text_only,234.59228827773842,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,33,sensory,M_text_only,240.43653202883962,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,34,sensory,M_text_only,233.90631292959856,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,35,sensory,M_text_only,212.46438894224366,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,36,sensory,M_text_only,16.35034634222605,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,0,sensory,M_matched_image,686.9592695519443,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,1,sensory,M_matched_image,159.30501050609024,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,2,sensory,M_matched_image,234.905049764832,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,3,sensory,M_matched_image,231.7269333085262,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,4,sensory,M_matched_image,299.42314591980653,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,5,sensory,M_matched_image,312.25813729484105,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,6,sensory,M_matched_image,245.13657256910363,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,7,sensory,M_matched_image,219.85470346856965,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,8,sensory,M_matched_image,219.12338128671018,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,9,sensory,M_matched_image,214.76422671964156,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,10,sensory,M_matched_image,212.62767130377142,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,11,sensory,M_matched_image,191.40344850066387,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,12,sensory,M_matched_image,172.4119560217591,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,13,sensory,M_matched_image,156.25233338360658,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,14,sensory,M_matched_image,135.94176753881524,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,15,sensory,M_matched_image,121.70220850573627,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,16,sensory,M_matched_image,112.49704179459223,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,17,sensory,M_matched_image,106.5027759197508,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,18,sensory,M_matched_image,100.77053150009314,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,19,sensory,M_matched_image,96.1180332075293,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,20,sensory,M_matched_image,89.2967680096679,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,21,sensory,M_matched_image,86.70180218286664,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,22,sensory,M_matched_image,87.66889241482616,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,23,sensory,M_matched_image,85.62500501305642,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,24,sensory,M_matched_image,87.835234212846,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,25,sensory,M_matched_image,102.0268351814436,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,26,sensory,M_matched_image,107.89144914759858,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,27,sensory,M_matched_image,122.4027369018238,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,28,sensory,M_matched_image,129.6875412893289,1854,4096,data/concepts/things_max_1854_concepts.csv
